"Hero","First Phase","Second Phase","Third Phase","Total Games","Total Avg Shift"
"Omniknight","","40.41","8.19","23","20.08"
"Lone Druid","","42.50","6.28","19","11.34"
"Broodmother","","-27.45","17.94","30","10.37"
"Tinker","","31.30","","4","7.82"
"Spirit Breaker","","13.81","-33.23","40","7.52"
"Razor","","-2.42","-0.30","15","-0.87"
"Outworld Devourer","","-6.73","1.05","24","-2.52"
"Monkey King","","-20.62","3.57","50","-4.73"
"Bloodseeker","","-17.66","6.37","139","-5.07"
"Riki","","-3.43","-10.92","56","-6.24"
"Leshrac","","13.99","-25.43","56","-9.49"
"Dazzle","","-18.54","-10.28","21","-12.64"
"Meepo","","19.16","-20.15","9","-15.78"
"Lycan","","-26.08","-10.14","33","-16.59"
"Arc Warden","","-19.92","-31.51","78","-18.30"
"Huskar","","-38.73","-30.09","7","-33.80"
"Templar Assassin","-50.94","11.68","-8.32","95","-1.61"
"Chaos Knight","-34.91","-25.64","-2.43","55","-16.10"
"Slardar","-29.05","16.24","-5.78","126","5.28"
"Luna","-28.81","-2.81","-13.46","37","-9.08"
"Wraith King","-26.84","-0.35","-6.84","54","-4.10"
"Witch Doctor","-22.24","-7.56","2.82","108","-10.50"
"Underlord","-20.91","-3.21","3.75","153","-1.73"
"Sand King","-18.15","-3.03","1.54","120","-4.01"
"Shadow Demon","-15.93","3.44","12.05","114","-2.26"
"Storm Spirit","-14.04","-19.92","-5.21","163","-11.13"
"Dark Willow","-13.90","2.96","40.13","50","0.54"
"Ursa","-13.51","-4.22","0.50","104","-3.93"
"Pangolier","-13.50","2.91","1.49","213","-0.98"
"Keeper of the Light","-13.17","5.12","-23.13","49","-4.04"
"Puck","-13.08","-1.48","-6.38","176","-4.93"
"Oracle","-11.44","1.78","","238","-4.22"
"Shadow Fiend","-10.88","11.56","8.47","50","6.38"
"Sven","-10.75","25.72","6.04","195","12.56"
"Chen","-10.59","2.29","23.87","84","-1.23"
"Undying","-9.79","-10.45","-4.87","133","-9.72"
"Visage","-9.51","2.02","13.07","34","4.21"
"Tidehunter","-9.30","4.21","-8.96","107","-1.87"
"Grimstroke","-8.56","4.89","17.29","260","-0.13"
"Night Stalker","-8.27","4.92","3.60","46","3.51"
"Abaddon","-7.90","2.97","1.66","102","0.26"
"Nyx Assassin","-7.70","-7.42","12.44","65","-4.45"
"Phantom Lancer","-6.63","0.18","-6.41","135","-2.04"
"Clinkz","-6.17","-27.07","0.51","29","-14.62"
"Jakiro","-5.52","-2.63","-9.23","165","-4.33"
"Disruptor","-5.34","-2.15","1.24","159","-3.10"
"Batrider","-5.08","0.03","16.01","254","-0.07"
"Alchemist","-4.82","-22.05","7.20","41","-2.70"
"Juggernaut","-4.75","3.74","-4.94","104","-0.50"
"Skywrath Mage","-4.74","7.85","11.00","29","7.74"
"Magnus","-4.56","8.51","13.18","242","0.49"
"Enchantress","-4.37","12.08","44.53","265","0.34"
"Windranger","-3.85","-17.39","11.31","198","-5.36"
"Phoenix","-3.80","-6.63","1.68","496","-4.03"
"Void Spirit","-3.12","6.65","4.81","451","2.48"
"Death Prophet","-3.00","-2.43","-2.45","153","-2.51"
"Tusk","-2.94","-10.34","-39.99","132","-10.68"
"Mars","-2.92","-7.93","-2.14","219","-4.71"
"Io","-2.53","5.54","","136","-0.91"
"Earth Spirit","-2.27","-6.10","17.87","289","-1.56"
"Lich","-2.22","8.32","14.85","100","6.70"
"Zeus","-1.72","-4.85","-8.61","97","-7.31"
"Ember Spirit","-1.20","2.33","-4.55","392","-0.82"
"Drow Ranger","-1.16","8.26","0.51","156","3.80"
"Sniper","-0.90","-28.11","20.11","11","11.91"
"Legion Commander","-0.68","-3.20","6.29","187","-0.26"
"Medusa","-0.24","-14.78","-0.17","67","-8.46"
"Queen of Pain","-0.04","2.34","1.08","277","1.15"
"Terrorblade","0.23","1.63","-7.09","285","-0.08"
